Group,Heart Rate
Runners,119
Runners,84
Runners,89
Runners,119
Runners,127
Runners,111
Runners,115
Runners,109
Runners,111
Runners,120
Runners,105
Runners,104
Runners,94
Runners,126
Runners,113
Runners,141
Runners,116
Runners,104
Runners,82
Runners,164
Runners,119
Runners,110
Runners,109
Runners,106
Runners,125
Runners,106
Runners,108
Runners,122
Runners,145
Runners,115
Runners,110
Runners,92
Runners,114
Runners,121
Runners,123
Runners,128
Runners,126
Runners,119
Runners,119
Runners,121
Runners,115
Runners,118
Runners,106
Runners,128
Runners,95
Runners,126
Runners,112
Runners,118
Runners,95
Runners,114
Runners,109
Runners,136
Runners,129
Runners,139
Runners,150
Runners,112
Runners,127
Runners,126
Runners,107
Runners,117
Runners,96
Runners,135
Runners,116
Runners,111
Runners,129
Runners,130
Runners,109
Runners,100
Runners,118
Runners,133
Runners,122
Runners,144
Runners,151
Runners,89
Runners,128
Runners,140
Runners,94
Runners,126
Runners,142
Runners,121
Runners,125
Runners,116
Runners,107
Runners,126
Runners,95
Runners,134
Runners,100
Runners,95
Runners,144
Runners,108
Runners,114
Runners,121
Runners,105
Runners,78
Runners,102
Runners,118
Runners,137
Runners,122
Runners,106
Runners,139
Runners,114
Runners,110
Runners,128
Runners,98
Runners,100
Runners,99
Runners,103
Runners,122
Runners,115
Runners,123
Runners,107
Runners,106
Runners,113
Runners,134
Runners,126
Runners,149
Runners,147
Runners,120
Runners,141
Runners,124
Runners,116
Runners,112
Runners,132
Runners,97
Runners,80
Runners,128
Runners,106
Runners,109
Runners,100
Runners,128
Runners,128
Runners,95
Runners,115
Runners,103
Runners,98
Runners,85
Runners,113
Runners,123
Runners,102
Runners,126
Runners,106
Runners,105
Runners,132
Runners,109
Runners,131
Runners,105
Runners,108
Runners,122
Runners,128
Runners,132
Runners,85
Runners,116
Runners,88
Runners,134
Runners,126
Runners,87
Runners,109
Runners,107
Runners,121
Runners,138
Runners,117
Runners,121
Runners,112
Runners,119
Runners,106
Runners,126
Runners,86
Runners,108
Runners,124
Runners,122
Runners,94
Runners,146
Runners,111
Runners,100
Runners,141
Runners,122
Runners,117
Runners,120
Runners,106
Runners,123
Runners,139
Runners,100
Runners,150
Runners,111
Runners,108
Runners,97
Runners,124
Runners,147
Runners,102
Runners,98
Runners,128
Runners,92
Runners,124
Runners,111
Runners,135
Runners,140
Runners,117
Runners,94
Runners,111
Runners,88
Runners,100
Runners,120
Runners,93
Runners,107
Runners,138
Runners,96
Runners,107
Runners,119
Runners,99
Runners,102
Runners,87
Runners,88
Runners,80
Runners,120
Runners,104
Runners,110
Runners,127
Runners,112
Runners,96
Runners,87
Runners,94
Runners,81
Runners,116
Runners,102
Runners,102
Runners,98
Runners,97
Runners,103
Runners,97
Runners,101
Runners,86
Runners,92
Runners,119
Runners,121
Runners,103
Runners,98
Runners,132
Runners,93
Runners,105
Runners,116
Runners,93
Runners,114
Runners,97
Runners,128
Runners,98
Runners,107
Runners,105
Runners,95
Runners,104
Runners,86
Runners,102
Runners,95
Runners,83
Runners,78
